stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,tinh_thanh,ten_co_so_norm,quan_huyen_norm,phuong_xa_norm,thoi_han_gcn_attp,processing_days,attp_valid
1336,,"CT, NN, YT",,2023-03-28,2023-04-26,,cong ty tnhh mot thanh vien sai gon co.op cu chi,NGUYỄN ANH ĐỨC,"357 Quốc lộ 22, Ấp Thượng",tan thong hoi,cu chi,,"so che, đong goi: rau, cu, qua, thit, thuy hai san; kinh doanh dich vu an uong (cua hang); ban le nhom san pham theo danh muc",1336,2023-04-07,,,,,,ho chi minh,cong ty tnhh mot thanh vien sai gon co.op cu chi,cu chi,tan thong hoi,2026-04-06,10.0,True
1337,,CT,,2023-03-27,2023-04-25,,đia điem kinh doanh winmart+ hcm 498 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,PHẠM THỊ THU HƯƠNG,"Căn hộ Duplex số 6 và số 7, Block B3, Chung cư TopazHome 2, đường 154 và 138",tan phu,thu đuc,,ban le nhom san pham theo danh muc,1337,2023-04-07,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 498 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,thu đuc,tan phu,2026-04-06,11.0,True
1338,,CT,,2023-03-24,2023-04-21,,đia điem kinh doanh winmart+ hcm 412 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,PHẠM THỊ THU HƯƠNG,"A.0.03A và A.0.05, Tầng G, Tháp A, Chung cư Bảo Minh Ezland (HAUSNEO), Số 2 Đường 11, Khu phố 2",phu huu,thu đuc,,ban le nhom san pham theo danh muc,1338,2023-04-07,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 412 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,thu đuc,phu huu,2026-04-06,14.0,True
1339,,CT,,2023-03-27,2023-04-25,,đia điem kinh doanh winmart+ hcm 559 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,PHẠM THỊ THU HƯƠNG,172/16A - 18 An Phú Đông 09,an phu đong,12,,ban le nhom san pham theo danh muc,1339,2023-04-07,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 559 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,12,an phu đong,2026-04-06,11.0,True
1340,,CT,,2023-03-27,2023-04-25,,cong ty tnhh sieu thi hai san canada,ĐỖ VĂN SƠN,351 Lê Văn Khương,hiep thanh,12,,kinh doanh dich vu an uong,1340,2023-04-07,,,,,,ho chi minh,cong ty tnhh sieu thi hai san canada,12,hiep thanh,2026-04-06,11.0,True
1341,,CT,,2023-03-27,2023-04-25,,đia điem kinh doanh winmart+ hcm 562 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,PHẠM THỊ THU HƯƠNG,"1.17, Tầng 1, Tòa nhà chung cư số S3.05, Khu A, Dự án khu dân cư và công viên Phước Thiện, 512 Nguyễn Xiển",long thanh my,thu đuc,,ban le nhom san pham theo danh muc,1341,2023-04-07,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 562 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,thu đuc,long thanh my,2026-04-06,11.0,True
1342,,CT,,2023-03-24,2023-04-24,,đia điem kinh doanh winmart+ hcm 544 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,PHẠM THỊ THU HƯƠNG,"Shop 01.05, Tầng 1, Tòa nhà chung cư S6.05 thuộc khu nhà ở cao tầng - Dự án khu dân cư và công viên Phước Thiện, 88 Phước Thiện",long binh,thu đuc,,ban le nhom san pham theo danh muc,1342,2023-04-07,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 544 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,thu đuc,long binh,2026-04-06,14.0,True
1343,,CT,,2023-03-24,2023-04-21,,cua hang tien loi ministop so 155 - cong ty tnhh ministop viet nam,HOÀNG THU HƯỜNG,"Căn hộ số A-01-10 Khu căn hộ Saigon Gateway tại số 702 Xa Lộ Hà Nội, Khu phố 1    ",hiep phu,thu đuc,,ban le nhom san pham theo danh muc,1343,2023-04-07,,,,,,ho chi minh,cua hang tien loi ministop so 155 - cong ty tnhh ministop viet nam,thu đuc,hiep phu,2026-04-06,14.0,True
1344,,YT,,2023-03-28,2023-04-25,,đia điem kinh doanh so 41 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,TRƯƠNG THỊ THANH HUYỀN,157A Vạn Kiếp,3,binh thanh,,kinh doanh dich vu an uong,1344,2023-04-12,,,,,,ho chi minh,đia điem kinh doanh so 41 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,binh thanh,3,2026-04-11,15.0,True
1345,,YT,,2023-03-28,2023-04-25,,đia điem kinh doanh 24 cong ty co phan pizza ngon - nha hang the pizza company,LÊ ĐÌNH HỘI,Số 183 đường Nguyễn Gia Trí,25,binh thanh,,kinh doanh dich vu an uong,1345,2023-04-12,,,,,,ho chi minh,đia điem kinh doanh 24 cong ty co phan pizza ngon - nha hang the pizza company,binh thanh,25,2026-04-11,15.0,True
1346,,YT,,2023-03-28,2023-04-25,,đia điem kinh doanh nha hang love sushi – cong ty tnhh thuc pham phu long,NGUYỄN LONG CHIẾN,180/71 Nguyễn Hữu Cảnh,22,binh thanh,,kinh doanh dich vu an uong,1346,2023-04-12,,,,,,ho chi minh,đia điem kinh doanh nha hang love sushi – cong ty tnhh thuc pham phu long,binh thanh,22,2026-04-11,15.0,True
1347,,YT,,2023-03-28,2023-04-25,,cong ty tnhh ngon lam,NGUYỄN QUỐC ĐẠT,127 Nguyễn Văn Đậu,5,binh thanh,,kinh doanh dich vu an uong,1347,2023-04-12,,,,,,ho chi minh,cong ty tnhh ngon lam,binh thanh,5,2026-04-11,15.0,True
1348,,YT,,2023-03-29,2023-04-27,,cong ty tnhh utt lounge,ĐÀO THỊ TUYẾT NGA,85/6D Phạm Viết Chánh,19,binh thanh,,kinh doanh dich vu an uong,1348,2023-04-12,,,,,,ho chi minh,cong ty tnhh utt lounge,binh thanh,19,2026-04-11,14.0,True
1349,,YT,,2023-03-29,2023-04-26,,đia điem kinh doanh cong ty tnhh dong trang,NGUYỄN THỊ NGỌC ÁNH,83 Phạm Viết Chánh,19,binh thanh,,kinh doanh dich vu an uong,1349,2023-04-12,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh dong trang,binh thanh,19,2026-04-11,14.0,True
1350,,YT,,2023-03-30,2023-04-27,,cong ty tnhh dich vu giai tri nhat minh,ĐÀM DIỆU THANH,905 Trần Hưng Đạo,1,5,,kinh doanh dich vu an uong,1350,2023-04-12,,,,,,ho chi minh,cong ty tnhh dich vu giai tri nhat minh,5,1,2026-04-11,13.0,True
1351,,YT,,2023-03-30,2023-04-28,,cong ty co phan mot lit,VŨ HÀ ANH,382D Đường Trần Hưng Đạo,11,5,,kinh doanh dich vu an uong,1351,2023-04-12,,,,,,ho chi minh,cong ty co phan mot lit,5,11,2026-04-11,13.0,True
1352,,YT,,2023-04-06,2023-05-10,,cong ty tnhh dich vu nha hang phung gia,NGUYỄN KHẮC THÙY,153 Hùng Vương,4,5,,kinh doanh dich vu an uong,1352,2023-04-12,,,,,,ho chi minh,cong ty tnhh dich vu nha hang phung gia,5,4,2026-04-11,6.0,True
1353,,YT,,2023-03-31,2023-05-01,,chi nhanh cong ty tnhh co khi xay dung thuong mai dich vu vinh đinh,ĐỖ THỌ,"87 đường Dương Thị Mười, Khu phố 7",tan chanh hiep,12,,kinh doanh dich vu an uong,1353,2023-04-14,,,,,,ho chi minh,chi nhanh cong ty tnhh co khi xay dung thuong mai dich vu vinh đinh,12,tan chanh hiep,2026-04-13,14.0,True
1354,,YT,,2023-03-29,2023-04-27,,đia điem kinh doanh cong ty co phan co khi ngan hang,VŨ QUANG THỨC,431 Lê Hồng Phong,2,10,,kinh doanh dich vu an uong,1354,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan co khi ngan hang,10,2,2026-04-13,16.0,True
1355,,YT,,2023-03-29,2023-04-26,,cong ty co phan capella center,BÙI THỊ VÂN ANH,24 Đường 3 tháng 2,12,10,,kinh doanh dich vu an uong,1355,2023-04-14,,,,,,ho chi minh,cong ty co phan capella center,10,12,2026-04-13,16.0,True
1356,,NN,,2023-03-29,2023-04-20,,ho kinh doanh yen sao thanh yen,,"Số 619 đường Rừng Sác, Ấp Bình An",binh khanh,can gio,,"so che, đong goi: to yen",1356,2023-04-14,,,,,,ho chi minh,ho kinh doanh yen sao thanh yen,can gio,binh khanh,2026-04-13,16.0,True
1357,,NN,,2023-04-03,2023-04-25,,ho kinh doanh tiem hai san hai phu,,"Số 2/30A đường Nguyễn Văn Mạnh, ấp Long Thạnh",long hoa,can gio,,che bien ca kho,1357,2023-04-14,,,,,,ho chi minh,ho kinh doanh tiem hai san hai phu,can gio,long hoa,2026-04-13,11.0,True
1358,,YT,,2023-03-30,2023-04-28,,chi nhanh gujarat indian restaurant cong ty trach nhiem huu han xuat nhap khau va thuong mai momai,ANILKUMAR KAMABHAI CHAUDHARY,"Tầng trệt, 278 Lê Thánh Tôn",ben thanh,1,,kinh doanh dich vu an uong,1358,2023-04-14,,,,,,ho chi minh,chi nhanh gujarat indian restaurant cong ty trach nhiem huu han xuat nhap khau va thuong mai momai,1,ben thanh,2026-04-13,15.0,True
1359,,YT,,2023-03-30,2023-04-27,,cong ty tnhh nha hang millenium lounge,NGUYỄN NHẬT LINH,"Tầng 1, 8A/8C1 Thái Văn Lung",ben nghe,1,,kinh doanh dich vu an uong,1359,2023-04-14,,,,,,ho chi minh,cong ty tnhh nha hang millenium lounge,1,ben nghe,2026-04-13,15.0,True
1360,,YT,,2023-03-29,2023-04-27,,cua hang lotteria tran hung đao,LEE WOO JU,95A đường Trần Hưng Đạo,cau ong lanh,1,,kinh doanh dich vu an uong,1360,2023-04-14,,,,,,ho chi minh,cua hang lotteria tran hung đao,1,cau ong lanh,2026-04-13,16.0,True
1361,,YT,,2023-03-29,2023-04-27,,đia điem kinh doanh cafe katinat tran quang khai - cong ty co phan cafe katinat,ĐINH VIỆT HÀ,02 Nguyễn Hữu Cầu,tan đinh,1,,kinh doanh dich vu an uong,1361,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh cafe katinat tran quang khai - cong ty co phan cafe katinat,1,tan đinh,2026-04-13,16.0,True
1362,,YT,,2023-03-29,2023-04-27,,nha hang chang 3 - cong ty co phan aka house,LÊ ĐÌNH HỘI,292 Võ Văn Ngân,binh tho,thu đuc,,kinh doanh dich vu an uong,1362,2023-04-14,,,,,,ho chi minh,nha hang chang 3 - cong ty co phan aka house,thu đuc,binh tho,2026-04-13,16.0,True
1363,,CT,,2023-03-31,2023-04-28,,cua hang vissan - chi nhanh cong ty co phan viet nam ky nghe suc san - trung tam kinh doanh chuoi cua hang vissan,LÊ THỊ HOÀNG NGÂN,1/1B Thống Nhất (đường Nguyễn Văn Lượng cũ),11,go vap,,ban le nhom san pham theo danh muc,1363,2023-04-14,,,,,,ho chi minh,cua hang vissan - chi nhanh cong ty co phan viet nam ky nghe suc san - trung tam kinh doanh chuoi cua hang vissan,go vap,11,2026-04-13,14.0,True
1364,,CT,,2023-03-29,2023-04-26,,đia điem kinh doanh winmart+ hcm 565 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,PHẠM THỊ THU HƯƠNG,"Căn hộ 0.06, Tầng 1, Tòa nhà chung cư Carillon 5, Chung cư cao tầng kết hợp TM-DV, 262/3 Lũy Bán Bích",hoa thanh,tan phu,,ban le nhom san pham theo danh muc,1364,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh winmart+ hcm 565 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,tan phu,hoa thanh,2026-04-13,16.0,True
1365,,"CT, NN, YT",,2023-03-29,2023-04-26,,cong ty tnhh eb tan phu,PHOOM CHIRATHIVAT,"Số 1/1, Đường Trường Chinh",tay thanh,tan phu,,"san xuat cac loai banh tuc bot; so che, đong goi: thit, thuy san, rau, cu, qua; ban le nhom san pham theo danh muc; kinh doanh dich vu an uong",1365,2023-04-14,,,,,,ho chi minh,cong ty tnhh eb tan phu,tan phu,tay thanh,2026-04-13,16.0,True
1366,,YT,,2023-03-29,2023-04-26,,đia điem kinh doanh cua cong ty tnhh life bridge viet nam tai tan tien,CHUNG DAE YEOL,"Lô II4-II5-II10-II11, cụm 4, nhóm CN II, Khu công nghiệp Tân Bình, đường số 13",tay thanh,tan phu,,kinh doanh dich vu an uong,1366,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh cua cong ty tnhh life bridge viet nam tai tan tien,tan phu,tay thanh,2026-04-13,16.0,True
1367,,YT,,2023-03-29,2023-04-26,,cong ty tnhh đau tu - san xuat va thuong mai cao truong ngan,NGÔ VĂN TRƯỜNG,200 Thành Công,tan thanh,tan phu,,san xuat nuoc uong đong binh,1367,2023-04-14,,,,,,ho chi minh,cong ty tnhh đau tu - san xuat va thuong mai cao truong ngan,tan phu,tan thanh,2026-04-13,16.0,True
1368,,NN,,2023-03-29,2023-04-20,,ho kinh doanh minh tuan,,"137B Bùi Văn Ba, khu phố 2",tan thuan đong,7,,"rang, xay, đong goi: ca phe",1368,2023-04-14,,,,,,ho chi minh,ho kinh doanh minh tuan,7,tan thuan đong,2026-04-13,16.0,True
1369,,YT,,2023-03-30,2023-04-27,,đia điem kinh doanh cong ty tnhh sunhan corp.,LEE SUMIN,"5F-15B, Tầng 5, Trung tâm thương mại Crescent Mall, Số 101, Đường Tôn Dật Tiên",tan phu,7,,kinh doanh dich vu an uong,1369,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh sunhan corp.,7,tan phu,2026-04-13,15.0,True
1370,,YT,,2023-03-30,2023-04-28,,đia điem kinh doanh cong ty tnhh thuong mai dich vu nha hang cat tien,NGUYỄN TUẤN ANH,131 Đường số 47,tan quy,7,,kinh doanh dich vu an uong,1370,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh thuong mai dich vu nha hang cat tien,7,tan quy,2026-04-13,15.0,True
1371,,NN,,2023-03-29,2023-04-20,,đia điem kinh doanh cong ty tnhh xuat nhap khau ichiban japan,,"29B Đào Sư Tích, Ấp 3",phuoc kien,nha be,,kinh doanh thuy hai san tuoi song,1371,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh xuat nhap khau ichiban japan,nha be,phuoc kien,2026-04-13,16.0,True
1372,,YT,,2023-03-29,2023-04-27,,cong ty tnhh thuong mai dich vu đau tu phat trien nguyen anh,PHẠM CÔNG ĐẶNG,16 Trần Thị Cờ,thoi an,12,,san xuat nuoc uong đong binh,1372,2023-04-14,,,,,,ho chi minh,cong ty tnhh thuong mai dich vu đau tu phat trien nguyen anh,12,thoi an,2026-04-13,16.0,True
1373,,NN,,2023-03-29,2023-04-20,,cong ty co phan đau tu va phat trien nong nghiep xanh phuong nam,,"29/4H Đường Phan Văn Hớn, Ấp Nam Lân",ba điem,hoc mon,307717414.0,"đong goi ca phe hat, bot.",1373,2023-04-14,,,,,,ho chi minh,cong ty co phan đau tu va phat trien nong nghiep xanh phuong nam,hoc mon,ba điem,2026-04-13,16.0,True
1374,,NN,,2023-03-30,2023-04-21,,ho kinh doanh thanh nhan,,"137/1 TCH36, Tổ 5, khu phố 6",tan chanh hiep,12,,đong goi trung,1374,2023-04-14,,,,,,ho chi minh,ho kinh doanh thanh nhan,12,tan chanh hiep,2026-04-13,15.0,True
1375,,YT,,2023-03-28,2023-04-25,,đia điem kinh doanh so 113 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,TRƯƠNG THỊ THANH HUYỀN,"650 Hương lộ 2, khu phố 4",binh tri đong a,binh tan,,kinh doanh dich vu an uong,1375,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh so 113 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,binh tan,binh tri đong a,2026-04-13,17.0,True
1376,,YT,,2023-03-29,2023-04-26,,chi nhanh cong ty co phan thuong mai - dich vu lan tue minh - nha hang chao suon chu chen 281nt,PHAN CÔNG MINH,281_283 Nguyễn Trãi,nguyen cu trinh,1,,kinh doanh dich vu an uong,1376,2023-04-14,,,,,,ho chi minh,chi nhanh cong ty co phan thuong mai - dich vu lan tue minh - nha hang chao suon chu chen 281nt,1,nguyen cu trinh,2026-04-13,16.0,True
1377,,YT,,2023-03-29,2023-04-26,,cong ty tnhh ca group - ruong pub&hub,LÊ ĐÌNH BẢO,"33-33D,E Nguyễn Trung Trực",ben thanh,1,,kinh doanh dich vu an uong,1377,2023-04-14,,,,,,ho chi minh,cong ty tnhh ca group - ruong pub&hub,1,ben thanh,2026-04-13,16.0,True
1378,,YT,,2023-03-29,2023-04-26,,cong ty tnhh dich vu ichigo,TRẦN THỊ MỸ LINH,8A/E14 Thái Văn Lung,ben nghe,1,,kinh doanh dich vu an uong,1378,2023-04-14,,,,,,ho chi minh,cong ty tnhh dich vu ichigo,1,ben nghe,2026-04-13,16.0,True
1379,,YT,,2023-03-29,2023-04-26,,chi nhanh ham nghi - cong ty co phan am thuc thien ly,NGUYỄN DUY CƯỜNG,114-116 Hàm Nghi,ben nghe,1,,kinh doanh dich vu an uong,1379,2023-04-14,,,,,,ho chi minh,chi nhanh ham nghi - cong ty co phan am thuc thien ly,1,ben nghe,2026-04-13,16.0,True
1380,,YT,,2023-03-29,2023-04-27,,chi nhanh 16 nguyen đinh chieu - cong ty co phan am thuc thien ly,NGUYỄN DUY CƯỜNG,Số 16 Đường Nguyễn Đình Chiểu,đa kao,1,,kinh doanh dich vu an uong,1380,2023-04-14,,,,,,ho chi minh,chi nhanh 16 nguyen đinh chieu - cong ty co phan am thuc thien ly,1,đa kao,2026-04-13,16.0,True
1381,,YT,,2023-03-29,2023-04-27,,đia điem kinh doanh 4 cong ty co phan pizza ngon - nha hang the pizza company,LÊ ĐÌNH HỘI,105-95/9 và 107 Nguyễn Thái Học,cau ong lanh,1,,kinh doanh dich vu an uong,1381,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh 4 cong ty co phan pizza ngon - nha hang the pizza company,1,cau ong lanh,2026-04-13,16.0,True
1382,,YT,,2023-03-31,2023-04-28,,cong ty tnhh kinh doanh thuong mai dich vu tran quang - đia điem kinh doanh so 1,TRẦN QUANG,"36 Đường Số 5, Khu Dân Cư An Phú Tây, Ấp 2",an phu tay,binh chanh,,kinh doanh dich vu an uong,1382,2023-04-14,,,,,,ho chi minh,cong ty tnhh kinh doanh thuong mai dich vu tran quang - đia điem kinh doanh so 1,binh chanh,an phu tay,2026-04-13,14.0,True
1383,,YT,,2023-03-31,2023-04-28,,cong ty tnhh kinh doanh thuong mai dich vu nghia thuan loi - đia điem kinh doanh so 1,NGUYỄN TRỌNG NGHĨA,"Số 9A Đường Số 2 , Khu Dân Cư Bình Hưng",binh hung,binh chanh,,kinh doanh dich vu an uong,1383,2023-04-14,,,,,,ho chi minh,cong ty tnhh kinh doanh thuong mai dich vu nghia thuan loi - đia điem kinh doanh so 1,binh chanh,binh hung,2026-04-13,14.0,True
1384,,YT,,2023-03-31,2023-04-28,,cong ty tnhh kinh doanh thuong mai dich vu đang kha - đia điem kinh doanh so 1,ĐẶNG NGUYỄN MINH KHA,"A13/9 Nguyễn Hữu Trí, Khu Phố 1",thi tran tan tuc,binh chanh,,kinh doanh dich vu an uong,1384,2023-04-14,,,,,,ho chi minh,cong ty tnhh kinh doanh thuong mai dich vu đang kha - đia điem kinh doanh so 1,binh chanh,thi tran tan tuc,2026-04-13,14.0,True
1385,,YT,,2023-03-31,2023-04-28,,cong ty tnhh thuong mai dich vu kinh doanh thuc pham mien nam ann- đia điem kinh doanh so 2,NGUYỄN THỊ NHÀN,"Số 6-8 Đường số 4, Khu dân cư Mizuki, ấp 3A",binh hung,binh chanh,,kinh doanh dich vu an uong,1385,2023-04-14,,,,,,ho chi minh,cong ty tnhh thuong mai dich vu kinh doanh thuc pham mien nam ann- đia điem kinh doanh so 2,binh chanh,binh hung,2026-04-13,14.0,True
1386,,YT,,2023-03-30,2023-04-28,,đia điem kinh doanh so 2 cong ty co phan tuktuk thai bistro,ĐỖ DANH TRUNG,29-29/1 Ngô Thời Nhiệm,vo thi sau,3,,kinh doanh dich vu an uong,1386,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh so 2 cong ty co phan tuktuk thai bistro,3,vo thi sau,2026-04-13,15.0,True
1387,,YT,,2023-03-29,2023-04-27,,đia điem kinh doanh cong ty tnhh thuong mai dich vu đau tu nv,VŨ ĐĂNG NGỌC VY,"83F Lý Chiêu Hoàng, Cư Xá Phú Lâm D",10,6,,kinh doanh dich vu an uong,1387,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh thuong mai dich vu đau tu nv,6,10,2026-04-13,16.0,True
1388,,"YT, NN, CT",,2023-03-30,2023-04-28,,chi nhanh 2 cong ty tnhh tan thanh ngoc,NGUYỄN NGỌC THANH,1388 đường Võ Văn Kiệt,1,6,,"phoi tron, đong goi: phu gia thuc pham dang bot, bot kem beo; đong goi trai cay say",1388,2023-04-14,,,,,,ho chi minh,chi nhanh 2 cong ty tnhh tan thanh ngoc,6,1,2026-04-13,15.0,True
1389,,YT,,2023-03-29,2023-04-27,,đia điem kinh doanh ch0013 - cong ty tnhh thuong mai sasin,ĐỖ XUÂN TUẤN,18 Hậu Giang,2,6,,kinh doanh dich vu an uong,1389,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh ch0013 - cong ty tnhh thuong mai sasin,6,2,2026-04-13,16.0,True
1390,,YT,,2023-03-31,2023-05-04,,chi nhanh cong ty tnhh nha hang x-pose,NGUYỄN PHÚ QUÝ,97-97C Lý Chiêu Hoàng,10,6,,kinh doanh dich vu an uong:,1390,2023-04-14,,,,,,ho chi minh,chi nhanh cong ty tnhh nha hang x-pose,6,10,2026-04-13,14.0,True
1391,,NN,,2023-03-29,2023-04-20,,chi nhanh cong ty co phan thuc pham viet nam (tp. ha noi),,"7a12 ấp 7, đường An Hạ",pham van hai,binh chanh,,"che bien rau cau, san xuat keo",1391,2023-04-14,,,,,,ho chi minh,chi nhanh cong ty co phan thuc pham viet nam (tp. ha noi),binh chanh,pham van hai,2026-04-13,16.0,True
1392,,NN,,2023-03-30,2023-04-20,,cong ty tnhh san xuat thuong mai thuc pham phat đat,,"A6/8 Vĩnh Lộc, Ấp 1",vinh loc a,binh chanh,312788322.0,"san xuat gia vi; chiet rot mach nha; phoi tron, đong goi bot co nguon goc thuc vat",1392,2023-04-14,,,,,,ho chi minh,cong ty tnhh san xuat thuong mai thuc pham phat đat,binh chanh,vinh loc a,2026-04-13,15.0,True
1393,,"CT, YT",,2023-03-30,2023-04-28,,chi nhanh cong ty tnhh socola marou,"VINCENT, GÉRARD MOUROU","Tầng 1, 165-167-169 Calmette",nguyen thai binh,1,,"san xuat: socola, banh ngot; kinh doanh dich vu an uong",1393,2023-04-14,,,,,,ho chi minh,chi nhanh cong ty tnhh socola marou,1,nguyen thai binh,2026-04-13,15.0,True
1394,,YT,,2023-04-06,2023-05-09,,cong ty tnhh hani bar,NGUYỄN NHẬT THANH,15B/26 Lê Thánh Tôn,ben nghe,1,,kinh doanh dich vu an uong,1394,2023-04-14,,,,,,ho chi minh,cong ty tnhh hani bar,1,ben nghe,2026-04-13,8.0,True
1395,,YT,,2023-03-30,2023-04-28,,chi nhanh cong ty tnhh san xuat thuong mai dich vu hung tai,NGUYỄN THỊ NGUYỆT,43/1 ấp Xuân Thới Đông II Quốc lộ 22,xuan thoi đong,hoc mon,,kinh doanh dich vu an uong,1395,2023-04-14,,,,,,ho chi minh,chi nhanh cong ty tnhh san xuat thuong mai dich vu hung tai,hoc mon,xuan thoi đong,2026-04-13,15.0,True
1396,,YT,,2023-03-29,2023-04-27,,cong ty tnhh đau tu va phat trien my my - chi nhanh 3,LƯU HỒNG,176/9 Lê Văn Sỹ,10,phu nhuan,,kinh doanh dich vu an uong,1396,2023-04-14,,,,,,ho chi minh,cong ty tnhh đau tu va phat trien my my - chi nhanh 3,phu nhuan,10,2026-04-13,16.0,True
1397,,YT,,2023-03-31,2023-04-28,,đia điem kinh doanh cong ty co phan gam coffee - gam coffee truong quoc dung,TRẦN VIỆT ANH,Số 43 Trương Quốc Dung,8,phu nhuan,,kinh doanh dich vu an uong,1397,2023-04-14,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan gam coffee - gam coffee truong quoc dung,phu nhuan,8,2026-04-13,14.0,True
1398,,YT,,2023-03-31,2023-04-28,,cong ty tnhh kinh doanh thuong mai dich vu tong hop minh ha - đia điem kinh doanh so 1,TRƯƠNG THỊ THANH THÚY,"E5/18 Lý Văn Mạnh, Kênh B, Ấp 5",le minh xuan,binh chanh,,kinh doanh dich vu an uong,1398,2023-04-14,,,,,,ho chi minh,cong ty tnhh kinh doanh thuong mai dich vu tong hop minh ha - đia điem kinh doanh so 1,binh chanh,le minh xuan,2026-04-13,14.0,True
1399,,YT,,2023-03-31,2023-04-28,,cong ty tnhh kinh doanh thuong mai dich vu tong hop minh hai - đia điem kinh doanh so 1,TRƯƠNG MINH HẢI,"B4/1A Đường Liên Ấp 123 , Ấp 2",vinh loc b,binh chanh,,kinh doanh dich vu an uong,1399,2023-04-14,,,,,,ho chi minh,cong ty tnhh kinh doanh thuong mai dich vu tong hop minh hai - đia điem kinh doanh so 1,binh chanh,vinh loc b,2026-04-13,14.0,True
1400,,YT,,2023-03-31,2023-04-28,,cong ty tnhh kinh doanh thuong mai dich vu tong hop thien thanh - đia điem kinh doanh so 1,NGUYỄN MỸ KHÁNH QUỲNH,"Số 2 Đường Số 6, Khu tái định cư Vĩnh Lộc B",vinh loc b,binh chanh,,kinh doanh dich vu an uong,1400,2023-04-14,,,,,,ho chi minh,cong ty tnhh kinh doanh thuong mai dich vu tong hop thien thanh - đia điem kinh doanh so 1,binh chanh,vinh loc b,2026-04-13,14.0,True
1401,,YT,,2023-03-31,2023-04-28,,cong ty tnhh kinh doanh thuong mai dich vu le phi quy- đia điem kinh doanh so 1,LÊ PHI QUÝ,"F6/40 Lại Hùng Cường, Ấp 6A",vinh loc b,binh chanh,,kinh doanh dich vu an uong,1401,2023-04-14,,,,,,ho chi minh,cong ty tnhh kinh doanh thuong mai dich vu le phi quy- đia điem kinh doanh so 1,binh chanh,vinh loc b,2026-04-13,14.0,True
1402,,NN,,2023-03-31,2023-04-21,,chi nhanh cong ty tnhh san xuat thuong mai dich vu hien thao,,E11/318 Quốc lộ 50,phong phu,binh chanh,,"che bien mon an, thuc an che bien san, thit vien; san xuat banh mi, đe banh pizza",1402,2023-04-14,,,,,,ho chi minh,chi nhanh cong ty tnhh san xuat thuong mai dich vu hien thao,binh chanh,phong phu,2026-04-13,14.0,True
