stt,unnamed_1,so_bien_nhan,ngay_nhan,ngay_tra,ten_cong_tydoanh_nghiep,đia_chi,phuong_xa,quan_huyen,ten_san_pham,ten_co_so_sx,đia_chi_sx,phuong_sx,quan_huyen_sx,so_ban_cong_bo,ngay_hoan_thanh,ket_qua,tinh_thanh
40,,,2023-06-11,2023-06-23,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ARTI GAIN OPTI PREMIUM DÀNH CHO TRẺ TỪ 0-1 TUỔI,,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,40,2023-06-19,,Ho Chi Minh
41,,,2023-06-16,2023-06-27,CÔNG TY TNHH DINH DƯỠNG THỰC PHẨM NANO RIGHT,26 Đường S3,Tây Thạnh ,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 0 - 12 THÁNG TUỔI BABY,,"48/15 đường 369, Tổ 5, Bàu Tre a",Tân An Hội,Củ Chi,41,2023-06-21,,Ho Chi Minh
42,,,2023-06-16,2023-06-27,CÔNG TY TNHH DINH DƯỠNG THỰC PHẨM NANO RIGHT,26 Đường S3,Tây Thạnh ,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 6 - 36 THÁNG TUỔI KIDS SURE,,"48/15 đường 369, Tổ 5, Bàu Tre a",Tân An Hội,Củ Chi,42,2023-06-21,,Ho Chi Minh
43,,,2023-06-16,2023-06-27,CÔNG TY TNHH DINH DƯỠNG THỰC PHẨM NANO RIGHT,26 Đường S3,Tây Thạnh ,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 1 - 15 TUỔI GROW IQ,,"48/15 đường 369, Tổ 5, Bàu Tre a",Tân An Hội,Củ Chi,43,2023-06-21,,Ho Chi Minh
44,,,2023-06-16,2023-06-27,CÔNG TY TNHH DƯỢC NUTRIPLUS,114/20 Đường số 18,Bình Hưng Hòa,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 1 TUỔI TRỞ LÊN STAPLUS IQ PEDIA,,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,44,2023-06-21,,Ho Chi Minh
45,,,2023-06-16,2023-06-27,CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG XNK ADP GOLD,"476 Nguyễn Văn Khạ, Ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DHAGOLD PEDIA CHO TRẺ TỪ 1 - 10 TUỔI,,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,45,2023-06-21,,Ho Chi Minh
46,,,2023-06-16,2023-06-27,CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG XNK ADP GOLD,"476 Nguyễn Văn Khạ, Ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DHAGOLD GROW PLUS CHO TRẺ TỪ 1 - 12 TUỔI,,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,46,2023-06-21,,Ho Chi Minh
47,,,2023-06-16,2023-06-27,CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG XNK ADP GOLD,"476 Nguyễn Văn Khạ, Ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DHAGOLD GROW GAIN CHO TRẺ TỪ 1TRỞ LÊN,,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,47,2023-06-21,,Ho Chi Minh
48,,,2023-06-20,2023-06-29,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,"BỘT ĂN DẶM HUMABABY VỊ BÍ ĐỎ, ÓC CHÓ",,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,48,2023-06-23,,Ho Chi Minh
49,,,2023-06-20,2023-06-29,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,"BỘT ĂN DẶM HUMABABY VỊ ÓC CHÓ, CÀ RỐT",,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,49,2023-06-23,,Ho Chi Minh
50,TT,,2023-06-27,2023-07-06,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ FD,"10/14/30 đường số 7, khu phố 2",Tam Bình,Thủ Đức,SỮA HẠT DINH DƯỠNG DÀNH CHO TRẺ NHỎ 1 - 15 TUỔI FD FOR BABY NUTRISH GROW,,Thôn Đồng Vàng,Phú Mãn,Quốc Oai - Hà Nội,50,2023-07-03,,Ho Chi Minh
51,TT,,2023-06-27,2023-07-06,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ FD,"10/14/30 đường số 7, khu phố 2",Tam Bình,Thủ Đức,SẢN PHẨM DINH DƯỠNG DÀNH CHO TRẺ NHỎ 0 - 12 THÁNG TUỔI FD FOR BABY NUTRISH PLUS,,Thôn Đồng Vàng,Phú Mãn,Quốc Oai - Hà Nội,51,2023-07-03,,Ho Chi Minh
52,TT,,2023-08-15,,CÔNG TY TNHH THỰC PHẨM DINH DƯỠNG THẦN ĐỒNG VIỆT NAM ,Số 43 Đường 2D nối dài,An Lạc,Bình Tân,SẢN PHẨM DINH DƯỠNG SUPER KIDS PEDIA DÀNH CHO TRẺ TỪ 1-10 TUỔI,,116 ấp Hưng Hòa,Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",52,2023-08-21,,Ho Chi Minh
53,TT,,2023-08-29,2023-09-11,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,BỘT ĂN DẶM HUMABABY TÔM CÀ RỐT,,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,53,2023-09-06,,Ho Chi Minh
54,TT,,2023-08-29,2023-09-11,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,BỘT ĂN DẶM HUMABABY THỊT GÀ RAU CỦ,,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,54,2023-09-06,,Ho Chi Minh
55,TT,,2023-08-29,2023-09-11,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,BỘT ĂN DẶM HUMABABY TRỨNG BÍ ĐỎ - BÓ XÔI,,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,55,2023-09-06,,Ho Chi Minh
56,TT,,2023-08-29,2023-09-11,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,BỘT ĂN DẶM HUMABABY THỊT BÒ BÍ ĐỎ,,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,56,2023-09-06,,Ho Chi Minh
57,TT,,2023-08-29,2023-09-11,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,"BỘT ĂN DẶM HUMABABY VỊ GẠO SỮA, HẠNH NHÂN",,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,57,2023-09-06,,Ho Chi Minh
58,TT,,2023-09-07,2023-09-19,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN DINH DƯỠNG GREEN VIỆT NAM,104/23 Đường số 18,Bình Hưng Hòa,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 0-12 THÁNG TUỔI GREENGOLD COLOSTRUM ,,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,58,2023-09-12,,Ho Chi Minh
59,TT,,2023-09-07,2023-09-19,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN DINH DƯỠNG GREEN VIỆT NAM,104/23 Đường số 18,Bình Hưng Hòa,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 1-15 TUỔI GREENGOLD DIGHEST,,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,59,2023-09-12,,Ho Chi Minh
60,TT,,2023-09-07,2023-09-19,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN DINH DƯỠNG GREEN VIỆT NAM,104/23 Đường số 18,Bình Hưng Hòa,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 1-18 TUỔI GREENGOLD IQ GROW,,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,60,2023-09-12,,Ho Chi Minh
61,TT,,2023-09-07,2023-09-19,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN DINH DƯỠNG GREEN VIỆT NAM,104/23 Đường số 18,Bình Hưng Hòa,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 1 TUỔI TRỞ LÊN GREENGOLD WEIGHT GAIN,,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,61,2023-09-12,,Ho Chi Minh
62,BĐ,,2023-09-07,2023-09-19,CÔNG TY CỔ PHẦN SÀI GÒN FOOD,"Lô C24-24B/II, C25/II, Đường 2F, Khu công nghiệp Vĩnh Lộc",Vĩnh Lộc A,Bình Chánh,"THỰC PHẨM DINH DƯỠNG: CHÁO TƯƠI BÒ, ĐẬU HÀ LAN & CÀ RỐT",,"Lô C13 - C14/II, Đường 2F, Khu công nghiệp Vĩnh Lộc",Vĩnh Lộc A,Bình Chánh,62,2023-09-12,,Ho Chi Minh
63,BĐ,,2023-09-07,2023-09-19,CÔNG TY CỔ PHẦN SÀI GÒN FOOD,"Lô C24-24B/II, C25/II, Đường 2F, Khu công nghiệp Vĩnh Lộc",Vĩnh Lộc A,Bình Chánh,THỰC PHẨM DINH DƯỠNG: CHÁO TƯƠI CÁ HỒI & CẢI BÓ XÔI,,"Lô C13 - C14/II, Đường 2F, Khu công nghiệp Vĩnh Lộc",Vĩnh Lộc A,Bình Chánh,63,2023-09-12,,Ho Chi Minh
64,TT,,2023-09-08,2023-09-19,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,BỘT ĂN DẶM HUMABABY THỊT HEO BÓ XÔI,,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,64,2023-09-14,,Ho Chi Minh
65,,,2023-09-22,2023-10-03,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG GRAND GROW IQ DÀNH CHO TRẺ TỪ 1 TUỔI TRỞ LÊN,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,65,2023-09-27,,Ho Chi Minh
66,,,2023-09-25,2023-10-04,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 0-12 THÁNG TUỔI MEJIKO GOLD BABY,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,66,2023-09-27,,Ho Chi Minh
67,,,2023-09-25,2023-10-04,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,256/45/17 Liên khu 4-5,Bình Hưng Hòa B,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 6-36 THÁNG TUỔI MEJIKO GOLD KIDS,,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,67,2023-09-27,,Ho Chi Minh
